nationality,theestallion_count,theestallion_percent,jackharlow_count,jackharlow_percent,21savage_count,21savage_percent,dojacat_count,dojacat_percent,kodakblack1k_count,kodakblack1k_percent,trvisxx_count,trvisxx_percent,1gunnagunna_count,1gunnagunna_percent,wizkhalifa_count,wizkhalifa_percent,liltunechi_count,liltunechi_percent,rickross_count,rickross_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Japan,326.0,1.6453013021096197,276,0.9435252290441681,278.0,1.229816412298164,241.0,1.5472521828454031,150.0,1.1132551580822323,409,1.5379987214680555,202.0,1.2432299359921222,240,1.5063076633402375,108.0,1.1223111295853685,78.0,0.7197563901448741,401,1.3156599625971979,72.0,1.2332990750256936,429,1.7116182572614107,290,1.8798210928890897,317.0,2.2832036876980695,245.0,1.431409207758822,86.0,1.3097776424002439,116.0,1.3051305130513053,201.0,1.263435791061663,207.0,1.3009867387342091,1.4672850561149762,Music,Rapper,Person
Trinidad & Tobago,337.0,1.7008176037145453,520,1.77765622863394,336.0,1.486396814863968,187.0,1.2005649717514124,229.0,1.699569541338875,284,1.0679502124619262,259.0,1.5940423436730675,198,1.2427038222556959,103.0,1.0703522809934531,150.0,1.384146904124758,410,1.3451884904360378,39.0,0.6680369989722508,199,0.7939674433450364,167,1.0825176638361311,161.0,1.159608182080092,238.0,1.3905118018228557,117.0,1.7819067925677734,145.0,1.6314131413141315,282.0,1.7725815576089001,258.0,1.6215197033498836,1.4479387713233864,Music,Rapper,Person
Australia,189.0,0.9538710003028161,514,1.7571448106112404,250.0,1.1059500110594997,282.0,1.810477657935285,128.0,0.9499777348968383,429,1.6132064829090365,182.0,1.120137863121615,216,1.3556768970062134,125.0,1.2989712147978802,92.0,0.8489434345298517,386,1.266445749532465,67.0,1.1476533059266871,491,1.9589849984040855,198,1.2834640565242752,225.0,1.62057044079516,216.0,1.261977097452676,62.0,0.9442583003350593,115.0,1.293879387938794,178.0,1.1188635363630648,184.0,1.1564326566526304,1.426264009030852,Music,Rapper,Person
Spain,227.0,1.1456545876652873,381,1.3024750444414057,308.0,1.362530413625304,284.0,1.8233179250128402,149.0,1.105833457028351,460,1.7297785131425565,195.0,1.2001477104874447,222,1.3933345885897195,128.0,1.3301465239530292,111.0,1.0242687090523208,450,1.4764263919419929,75.0,1.2846865364850977,373,1.4881902330035108,209,1.354767615220068,197.0,1.4188994526073178,202.0,1.1801822855807431,59.0,0.8985683825769114,108.0,1.2151215121512156,203.0,1.276007291470237,206.0,1.2947017786437056,1.3873869980127485,Music,Rapper,Person
Portugal,158.0,0.7974159685071163,411,1.4050321345549022,250.0,1.1059500110594997,203.0,1.303287108371854,112.0,0.8312305180347335,459,1.7260181250705073,168.0,1.03397341211226,148,0.9288897257264797,94.0,0.976826353528006,70.0,0.6459352219248872,374,1.2270743790806786,66.0,1.1305241521068856,316,1.2607724225981485,177,1.1473390808323067,181.0,1.3036588879285507,175.0,1.0224351483991587,56.0,0.8528784648187633,90.0,1.0126012601260128,148.0,0.9302910302344582,146.0,0.9176041732135001,1.193723230531326,Music,Rapper,Person
Venezuela,188.0,0.9488240637932773,191,0.6529468070559278,120.0,0.5308560053085599,249.0,1.5986132511556241,58.0,0.43045866112512987,409,1.5379987214680555,54.0,0.3323485967503692,179,1.1234544655745937,73.0,0.7585991894419619,34.0,0.31373996493494516,306,1.0039699465205552,147.0,2.5179856115107913,186,0.7421002234280241,82,0.5315356193686391,91.0,0.6554307116104869,81.0,0.4732414115447534,23.0,0.3502893694791349,52.0,0.5850585058505852,71.0,0.44628826450436854,340.0,2.1368864307711646,1.1784617886673021,Music,Rapper,Person
El Salvadorian,213.0,1.0749974765317452,515,1.7605633802816902,221.0,0.977659809776598,223.0,1.4316897791474061,135.0,1.0019296422740092,315,1.1845222426954463,147.0,0.9047267355982275,126,0.7908115232536246,62.0,0.6442897225397485,37.0,0.3414229030174404,269,0.8825748876275469,49.0,0.8393285371702638,210,0.837855090967124,157,1.0176962468399557,214.0,1.5413425525785076,167.0,0.9756952559009114,59.0,0.8985683825769114,85.0,0.9563456345634566,125.0,0.78571877553586,109.0,0.6850606498648733,1.1282263963669152,Music,Rapper,Person
Cuba,220.0,1.1103260320985162,343,1.1725693969643103,190.0,0.8405220084052198,168.0,1.078582434514638,179.0,1.3284844886447975,262,0.9852216748768473,120.0,0.7385524372230429,184,1.1548358752275154,110.0,1.1430946690221344,108.0,0.9965857709698257,320,1.0499032120476395,77.0,1.3189448441247003,234,0.9336099585062239,129,0.8361962792506642,145.0,1.044367617401325,160.0,0.934797849964945,76.0,1.1574779165397502,99.0,1.113861386138614,137.0,0.8611477779873028,170.0,1.0684432153855823,1.0435717330911147,Music,Rapper,Person
Senegal,165.0,0.8327445240738872,157,0.5367154382606318,228.0,1.0086264100862639,54.0,0.3466872110939908,118.0,0.8757607243580228,175,0.6580679126085812,195.0,1.2001477104874447,298,1.870332015314128,118.0,1.2262288267691988,106.0,0.978130478914829,377,1.236917221693625,46.0,0.7879410757108599,154,0.6144270667092243,131,0.8491605626498993,58.0,0.41774704696053006,142.0,0.8296330918438887,76.0,1.1574779165397502,97.0,1.0913591359135915,166.0,1.0434345339116224,172.0,1.081013135566589,1.0326600690357797,Music,Rapper,Person
Bahamas,191.0,0.9639648733218936,214,0.7315739094762752,250.0,1.1059500110594997,58.0,0.3723677452491012,246.0,1.825738459254861,118,0.4437257925017862,174.0,1.0709010339734122,104,0.6527333207807694,75.0,0.7793827288787281,154.0,1.4210574882347515,192,0.6299419272285836,27.0,0.4624871531346352,84,0.3351420363868496,82,0.5315356193686391,55.0,0.39613944108326127,131.0,0.7653657396587987,93.0,1.4163874505025893,120.0,1.3501350135013503,203.0,1.276007291470237,113.0,0.710200490226887,0.9806313909401609,Music,Rapper,Person
Argentina,183.0,0.9235893812455841,198,0.676876794749077,91.0,0.402565804025658,269.0,1.7270159219311763,56.0,0.41561525901736673,391,1.470311736171173,59.0,0.3631216149679961,98,0.6150756291972636,52.0,0.540372025355918,33.0,0.3045123189074468,220,0.7218084582827521,59.0,1.0106200753682768,198,0.789977657197574,125,0.8102677124521939,159.0,1.1452031114952461,83.0,0.48492638466931537,16.0,0.24367956137678953,48.0,0.5400540054005402,65.0,0.40857376327864725,127.0,0.7981899314939349,0.9401043346596244,Music,Rapper,Person
Chile,179.0,0.9034016352074292,163,0.557226856283331,129.0,0.570670205706702,278.0,1.7847971237801745,54.0,0.40077185690960365,383,1.4402286315947808,79.0,0.48621368783850316,106,0.6652858846419382,57.0,0.5923308739478333,46.0,0.42447171726492583,166,0.5446372912497128,51.0,0.8735868448098663,175,0.6982125758059367,78,0.505607052570169,124.0,0.8931143762604435,72.0,0.4206590324842253,23.0,0.3502893694791349,45.0,0.5063006300630064,51.0,0.320573260418631,139.0,0.8736094525799759,0.9024345098636507,Music,Rapper,Person
Morocco,135.0,0.6813364287877259,174,0.5948311226582798,218.0,0.964388409643884,81.0,0.5200308166409862,117.0,0.8683390233041411,240,0.9024931372917686,140.0,0.86164451009355,133,0.8347454967677147,80.0,0.8313415774706432,65.0,0.5997969917873952,369,1.210669641392434,46.0,0.7879410757108599,257,1.0253750398978614,121,0.7843391456537236,114.0,0.8210890233362143,142.0,0.8296330918438887,56.0,0.8528784648187633,97.0,1.0913591359135915,146.0,0.9177195298258846,133.0,0.8358996920369556,0.8920339845839026,Music,Rapper,Person
Angola,110.0,0.5551630160492581,133,0.4546697661698346,148.0,0.6547224065472239,35.0,0.2247046738572162,75.0,0.5566275790411161,143,0.5377354943030122,165.0,1.0155096011816838,191,1.1987698487416054,112.0,1.1638782084589006,148.0,1.3656916120697615,275,0.9022605728534399,41.0,0.7022953066118532,131,0.5226619853175869,120,0.7778570039541062,51.0,0.36732929991356955,160.0,0.934797849964945,56.0,0.8528784648187633,83.0,0.933843384338434,133.0,0.8360047771701552,146.0,0.9176041732135001,0.8352624158393173,Music,Rapper,Person
Poland,87.0,0.4390834763298678,195,0.6666210857377274,163.0,0.721079407210794,136.0,0.8731381612737544,80.0,0.5937360843105239,299,1.1243560335426614,96.0,0.5908419497784343,91,0.5711416556831733,56.0,0.5819391042294503,40.0,0.36910584109993544,168,0.5511991863250106,20.0,0.342583076396026,321,1.280721353335461,118,0.7648927205548711,140.0,1.0083549409392105,88.0,0.5141388174807199,32.0,0.48735912275357907,52.0,0.5850585058505852,69.0,0.43371676409579474,82.0,0.515366727421281,0.7928178225970686,Music,Rapper,Person
Pakistan,135.0,0.6813364287877259,272,0.9298509503623686,156.0,0.690112806901128,85.0,0.5457113507960966,60.0,0.4453020632328929,164,0.6167036438160418,100.0,0.6154603643525358,119,0.7468775497395342,64.0,0.6650732619765146,39.0,0.35987819507243707,339,1.1122412152629677,51.0,0.8735868448098663,227,0.9056814554739865,89,0.576910611265962,67.0,0.4825698645923365,130.0,0.7595232530965178,37.0,0.5635089856838259,73.0,0.8213321332133214,100.0,0.6285750204286881,130.0,0.8170448117654452,0.7769031223388326,Music,Rapper,Person
Congo - Kinshasa,154.0,0.7772282224689614,170,0.5811568439764803,177.0,0.7830126078301259,44.0,0.2824858757062147,82.0,0.6085794864182871,104,0.39108035949309977,161.0,0.9908911866075825,112,0.702943576225444,93.0,0.9664345838096228,107.0,0.9873581249423274,243,0.7972702516486762,67.0,1.1476533059266871,161,0.6423555697414618,130,0.8426784209502816,70.0,0.5041774704696053,122.0,0.7127833605982706,58.0,0.8833384099908619,76.0,0.8550855085508551,105.0,0.6600037714501226,153.0,0.961598893847024,0.7670034418529451,Music,Rapper,Person
Peru,198.0,0.9992934288886646,217,0.7418296184876249,76.0,0.33620880336208797,216.0,1.3867488443759632,40.0,0.29686804215526197,282,1.060429436317828,61.0,0.37543082225504676,70,0.4393397351409025,29.0,0.3013613218331082,28.0,0.2583740887699549,152,0.49870402572262873,51.0,0.8735868448098663,125,0.4987232684328119,82,0.5315356193686391,115.0,0.8282915586286372,67.0,0.39144659967282075,20.0,0.3045994517209869,33.0,0.37128712871287134,42.0,0.264001508580049,86.0,0.5405065677832945,0.7478142698321556,Music,Rapper,Person
Honduras,144.0,0.7267588573735743,275,0.9401066593737181,172.0,0.760893607608936,110.0,0.7062146892655368,126.0,0.9351343327890751,182,0.6843906291129245,112.0,0.68931560807484,97,0.6087993472666793,56.0,0.5819391042294503,39.0,0.35987819507243707,181,0.593851504314446,24.0,0.41109969167523125,140,0.5585700606447493,98,0.63524988656252,126.0,0.9075194468452894,98.0,0.5725636831035289,47.0,0.7158087115443192,67.0,0.7538253825382539,110.0,0.6914325224715568,89.0,0.5593614480548049,0.7131544822084486,Music,Rapper,Person
Ethiopia,134.0,0.6762894922781872,149,0.5093668808970327,150.0,0.6635700066357,57.0,0.3659476117103236,66.0,0.48983226955618225,113,0.42492385214154105,91.0,0.5600689315608075,100,0.6276281930584322,46.0,0.47802140704561985,70.0,0.6459352219248872,247,0.8103940417992715,20.0,0.342583076396026,196,0.781998084902649,143,0.9269462630453098,62.0,0.44655718813022177,186.0,1.0867025005842488,33.0,0.5025890953396284,56.0,0.6300630063006302,77.0,0.4840027657300899,76.0,0.47765696687826026,0.6738842139602745,Music,Rapper,Person
Paraguay,50.0,0.2523468254769355,23,0.07862710242034733,10.0,0.04423800044237999,196.0,1.258346173600411,5.0,0.037108505269407746,219,0.8235249877787388,8.0,0.04923682914820286,17,0.10669679281993347,8.0,0.08313415774706433,8.0,0.07382116821998709,28,0.09186653105416845,7.0,0.1199040767386091,21,0.0837855090967124,7,0.04537499189732286,16.0,0.11524056467876692,15.0,0.0876372984342136,6.0,0.09137983551629607,4.0,0.04500450045004501,13.0,0.08171475265572946,31.0,0.1948337628056062,0.6676046939698551,Music,Rapper,Person
Cameroon,119.0,0.6005854446351065,129,0.440995487488035,164.0,0.7255032072550319,36.0,0.2311248073959938,93.0,0.6902181980109839,93,0.34971609070056037,130.0,0.8000984736582963,109,0.6841147304336911,81.0,0.8417333471890264,92.0,0.8489434345298517,196,0.6430657173791791,41.0,0.7022953066118532,161,0.6423555697414618,121,0.7843391456537236,39.0,0.28089887640449435,108.0,0.630988548726338,37.0,0.5635089856838259,75.0,0.8438343834383438,122.0,0.7668615249229994,104.0,0.6536358494123562,0.6610601144270568,Music,Rapper,Person
Guyana,175.0,0.8832138891692742,209,0.7144810611240257,154.0,0.681265206812652,56.0,0.35952747817154596,97.0,0.7199050022265103,94,0.3534764787726094,102.0,0.6277695716395865,100,0.6276281930584322,52.0,0.540372025355918,65.0,0.5997969917873952,180,0.590570556776797,25.0,0.42822884549503254,88,0.35110118097669957,82,0.5315356193686391,69.0,0.4969749351771823,105.0,0.6134610890394951,43.0,0.6548888212001219,52.0,0.5850585058505852,111.0,0.6977182726758439,125.0,0.7856200113129281,0.6301939591075534,Music,Rapper,Person
Turkey,86.0,0.434036539820329,121,0.413646930124436,111.0,0.491041804910418,80.0,0.5136106831022085,61.0,0.4527237642867745,143,0.5377354943030122,84.0,0.51698670605613,90,0.564865373752589,47.0,0.488413176764003,61.0,0.5628864076774016,185,0.6069752944650414,108.0,1.8499486125385407,196,0.781998084902649,60,0.3889285019770531,58.0,0.41774704696053006,65.0,0.3797616265482589,30.0,0.45689917758148035,42.0,0.47254725472547265,86.0,0.5405745175686717,86.0,0.5405065677832945,0.6128747114431154,Music,Rapper,Person
Algeria,114.0,0.575350762087413,96,0.32818268836318887,150.0,0.6635700066357,73.0,0.46866974833076536,42.0,0.31171144426302505,203,0.7633587786259542,91.0,0.5600689315608075,83,0.5209314002384988,61.0,0.6338979528213655,40.0,0.36910584109993544,233,0.7644607762721873,55.0,0.9421034600890715,159,0.6343759974465368,96,0.6222856031632849,56.0,0.40334197637568425,82.0,0.47908389810703433,36.0,0.5482790130977765,52.0,0.5850585058505852,80.0,0.5028600163429504,112.0,0.7039155301363836,0.6103312061215502,Music,Rapper,Person
Greece,86.0,0.434036539820329,198,0.676876794749077,159.0,0.703384207033842,96.0,0.6163328197226503,67.0,0.4972539706100639,183,0.6881510171849736,99.0,0.6093057607090104,82,0.5146551183079144,41.0,0.42606255845370467,38.0,0.3506505490449387,170,0.5577610814003084,25.0,0.42822884549503254,199,0.7939674433450364,73,0.4731963440720813,75.0,0.54019014693172,88.0,0.5141388174807199,18.0,0.27413950654888825,69.0,0.7763276327632765,72.0,0.45257401470865544,59.0,0.37081264533970204,0.5965785685467804,Music,Rapper,Person
Jordan,100.0,0.504693650953871,193,0.6597839463968276,129.0,0.570670205706702,62.0,0.3980482794042116,66.0,0.48983226955618225,141,0.530214718158914,100.0,0.6154603643525358,80,0.5021025544467458,57.0,0.5923308739478333,50.0,0.4613823013749193,182,0.5971324518520948,32.0,0.5481329222336416,133,0.5306415576125119,103,0.6676605950606078,74.0,0.532987611639297,122.0,0.7127833605982706,46.0,0.7005787389582698,59.0,0.663816381638164,126.0,0.792004525740147,70.0,0.43994720633523976,0.5899649776556363,Music,Rapper,Person
