family,telfarglobal_count,telfarglobal_percent,offwht_count,offwht_percent,bapeofficial_count,bapeofficial_percent,kith_count,kith_percent,gucci_count,gucci_percent,fendi_count,fendi_percent,rolex_count,rolex_percent,givenchy_count,givenchy_percent,armani_count,armani_percent,louisvuitton_count,louisvuitton_percent,prada_count,prada_percent,w_avg,Category Level 1,Category Level 2,Entity
Wife,627,39.63337547408344,147,11.629746835443036,126,9.333333333333334,270,9.598293636686812,1719,34.77645154764313,1252,35.43730540617039,267,12.21408966148216,830,34.072249589490966,658,33.4349593495935,1243,37.86171184891867,1349,36.61780673181324,33.515118582497344,Retail,Luxury Retail,Company
Mother,563,35.58786346396966,106,8.38607594936709,106,7.851851851851851,135,4.799146818343406,1704,34.47299211005462,1319,37.33371072742711,195,8.920402561756633,865,35.50903119868637,660,33.536585365853654,1074,32.713981114834,1287,34.934853420195445,33.076506638335765,Retail,Luxury Retail,Company
Father,148,9.355246523388116,569,45.01582278481012,619,45.85185185185185,1308,46.498400284393895,754,15.253894396115717,519,14.690065100481176,925,42.31473010064044,399,16.379310344827587,345,17.530487804878046,467,14.224794395370088,520,14.115092290988057,30.584767855992094,Retail,Luxury Retail,Company
Dad,192,12.13653603034134,354,28.00632911392405,390,28.888888888888886,890,31.638819765375043,430,8.699170544203923,248,7.019530144353239,536,24.519670631290026,196,8.045977011494255,170,8.638211382113822,275,8.376484922327139,285,7.73615635179153,19.62873103713984,Retail,Luxury Retail,Company
Husband,52,3.286978508217446,88,6.962025316455696,109,8.074074074074074,210,7.465339495200854,336,6.797491401982601,195,5.519388621568071,263,12.03110704483074,146,5.9934318555008215,135,6.859756097560974,224,6.823027718550106,243,6.596091205211726,7.3403858167414295,Retail,Luxury Retail,Company
