interests,telfarglobal_count,telfarglobal_percent,offwht_count,offwht_percent,bapeofficial_count,bapeofficial_percent,kith_count,kith_percent,gucci_count,gucci_percent,fendi_count,fendi_percent,rolex_count,rolex_percent,givenchy_count,givenchy_percent,armani_count,armani_percent,louisvuitton_count,louisvuitton_percent,prada_count,prada_percent,w_avg,Category Level 1,Category Level 2,Entity
Feminist,69.0,1.2396694214876036,22.0,0.3670337003670337,7.0,0.0938337801608579,6.0,0.06597756762700682,95.0,0.34844483568075113,103,0.49305887984681673,8.0,0.15411288769023307,94.0,0.546448087431694,41.0,0.3870115159524259,45.0,0.24823477493380403,99.0,0.4251664161477345,0.5098140796541568,Retail,Luxury Retail,Company
Stock Market,7.0,0.12576356449874238,23.0,0.38371705038371706,35.0,0.4691689008042896,55.0,0.6047943699142291,48.0,0.176056338028169,15,0.07180469123982768,55.0,1.0595261028703522,13.0,0.0755726078362981,14.0,0.13215027373985275,27.0,0.14894086496028242,19.0,0.08159759501825208,0.43600146182981525,Retail,Luxury Retail,Company
Boxing,3.0,0.05389867049946102,31.0,0.5171838505171839,43.0,0.5764075067024129,69.0,0.7587420277105783,44.0,0.1613849765258216,36,0.17233125897558643,44.0,0.8476208822962819,30.0,0.17439832577607256,31.0,0.29261846328110247,26.0,0.14342453662842009,31.0,0.13313291818767445,0.42807366427889587,Retail,Luxury Retail,Company
FX Trading,3.0,0.05389867049946102,29.0,0.4838171504838172,32.0,0.42895442359249325,24.0,0.2639102705080273,110.0,0.403462441314554,66,0.31594064145524176,43.0,0.8283567713350029,51.0,0.2964771538193233,34.0,0.32093637908249945,63.0,0.34752868490732564,64.0,0.27485505690358597,0.38655544507767825,Retail,Luxury Retail,Company
animals,14.0,0.25152712899748475,5.0,0.08341675008341674,7.0,0.0938337801608579,12.0,0.13195513525401364,101.0,0.37045187793427226,77,0.36859741503111537,14.0,0.26969755345790786,67.0,0.38948959423322865,42.0,0.39645082121955827,61.0,0.336496028243601,83.0,0.356452651921838,0.34909054483425284,Retail,Luxury Retail,Company
Biking,9.0,0.16169601149838306,15.0,0.2502502502502503,18.0,0.2412868632707775,24.0,0.2639102705080273,27.0,0.09903169014084506,29,0.13882240306366686,42.0,0.8090926603737235,21.0,0.12207882804325078,18.0,0.16990749480838205,20.0,0.11032656663724622,24.0,0.10307064633884472,0.27072810561533495,Retail,Luxury Retail,Company
Animals,5.0,0.0898311174991017,3.0,0.050050050050050046,9.0,0.12064343163538875,10.0,0.10996261271167802,54.0,0.19806338028169013,59,0.2824317855433222,16.0,0.30822577538046614,41.0,0.23834437856063245,31.0,0.29261846328110247,27.0,0.14894086496028242,60.0,0.2576766158471118,0.23301754039774641,Retail,Luxury Retail,Company
Sustainability,7.0,0.12576356449874238,11.0,0.18351685018351685,5.0,0.0670241286863271,15.0,0.16494391906751701,39.0,0.14304577464788734,51,0.2441359502154141,15.0,0.288961664419187,43.0,0.24997093361237066,21.0,0.19822541060977913,26.0,0.14342453662842009,50.0,0.2147305132059265,0.20300176944264436,Retail,Luxury Retail,Company
Cosplay,20.0,0.3593244699964068,6.0,0.10010010010010009,16.0,0.21447721179624663,7.0,0.0769738288981746,56.0,0.20539906103286382,36,0.17233125897558643,6.0,0.1155846657676748,25.0,0.14533193814672715,22.0,0.20766471587691143,39.0,0.21513680494263016,49.0,0.21043590294180797,0.20234375803898874,Retail,Luxury Retail,Company
Yoga,25.0,0.44915558749550855,5.0,0.08341675008341674,1.0,0.013404825737265414,10.0,0.10996261271167802,34.0,0.12470657276995305,23,0.11010052656773579,6.0,0.1155846657676748,17.0,0.09882571793977445,10.0,0.09439305267132339,13.0,0.07171226831421004,20.0,0.0858922052823706,0.1554812152190412,Retail,Luxury Retail,Company
Motivational Speaker,12.0,0.21559468199784407,2.0,0.033366700033366704,7.0,0.0938337801608579,2.0,0.021992522542335604,32.0,0.11737089201877934,24,0.1148875059837243,14.0,0.26969755345790786,19.0,0.11045227299151261,13.0,0.12271096847272038,24.0,0.13239187996469545,19.0,0.08159759501825208,0.13134059957354854,Retail,Luxury Retail,Company
Screenwriter,20.0,0.3593244699964068,3.0,0.050050050050050046,4.0,0.053619302949061656,6.0,0.06597756762700682,12.0,0.04401408450704225,4,0.01914791766395405,2.0,0.03852822192255827,8.0,0.04650622020695267,6.0,0.05663583160279402,5.0,0.027581641659311554,6.0,0.02576766158471118,0.12675234506972663,Retail,Luxury Retail,Company
Stop Asian Hate,17.0,0.30542579949694576,10.0,0.1668335001668335,8.0,0.10723860589812331,13.0,0.14295139652518143,20.0,0.0733568075117371,19,0.09095260890378173,8.0,0.15411288769023307,17.0,0.09882571793977445,5.0,0.047196526335661695,7.0,0.03861429832303617,19.0,0.08159759501825208,0.12406757794629185,Retail,Luxury Retail,Company
Skin Care,7.0,0.12576356449874238,,,1.0,0.013404825737265414,1.0,0.010996261271167802,30.0,0.11003521126760564,31,0.14839636189564387,2.0,0.03852822192255827,22.0,0.12789210556911984,13.0,0.12271096847272038,16.0,0.08826125330979696,31.0,0.13313291818767445,0.122281269276484,Retail,Luxury Retail,Company
Song Writer,3.0,0.05389867049946102,12.0,0.20020020020020018,14.0,0.1876675603217158,12.0,0.13195513525401364,30.0,0.11003521126760564,24,0.1148875059837243,10.0,0.19264110961279132,10.0,0.05813277525869086,6.0,0.05663583160279402,22.0,0.12135922330097085,15.0,0.06441915396177796,0.12225953432576035,Retail,Luxury Retail,Company
Vegetarian,13.0,0.23356090549766445,,,2.0,0.026809651474530828,3.0,0.03298878381350341,4.0,0.014671361502347418,7,0.033508855911919586,,,6.0,0.03487966515521451,2.0,0.018878610534264675,,,7.0,0.030062271848829713,0.08953627223167411,Retail,Luxury Retail,Company
Public Policy,5.0,0.0898311174991017,5.0,0.08341675008341674,3.0,0.04021447721179625,1.0,0.010996261271167802,10.0,0.03667840375586855,11,0.052656773575873644,6.0,0.1155846657676748,8.0,0.04650622020695267,4.0,0.03775722106852935,6.0,0.03309796999117386,9.0,0.03865149237706677,0.054513609846895246,Retail,Luxury Retail,Company
Political Science,7.0,0.12576356449874238,1.0,0.016683350016683352,,,2.0,0.021992522542335604,1.0,0.0036678403755868545,7,0.033508855911919586,4.0,0.07705644384511653,7.0,0.040692942681083595,1.0,0.009439305267132337,2.0,0.01103265666372462,4.0,0.017178441056474123,0.05201494264778068,Retail,Luxury Retail,Company
Theater,2.0,0.035932446999640676,,,,,,,12.0,0.04401408450704225,8,0.0382958353279081,1.0,0.019264110961279134,9.0,0.05231949773282176,5.0,0.047196526335661695,12.0,0.06619593998234773,11.0,0.04724071290530383,0.04910869891147586,Retail,Luxury Retail,Company
Bestselling Author,5.0,0.0898311174991017,1.0,0.016683350016683352,,,,,2.0,0.007335680751173709,4,0.01914791766395405,1.0,0.019264110961279134,3.0,0.017439832577607256,1.0,0.009439305267132337,2.0,0.01103265666372462,2.0,0.008589220528237062,0.0322556494293101,Retail,Luxury Retail,Company
Hair Care,3.0,0.05389867049946102,,,,,,,5.0,0.018339201877934273,6,0.028721876495931074,,,1.0,0.005813277525869084,4.0,0.03775722106852935,6.0,0.03309796999117386,3.0,0.01288383079235559,0.02927874121384776,Retail,Luxury Retail,Company
Wrestler,1.0,0.017966223499820338,3.0,0.050050050050050046,2.0,0.026809651474530828,,,3.0,0.011003521126760563,2,0.009573958831977024,2.0,0.03852822192255827,,,1.0,0.009439305267132337,,,1.0,0.004294610264118531,0.02431230113464235,Retail,Luxury Retail,Company
Anime,2.0,0.035932446999640676,1.0,0.016683350016683352,1.0,0.013404825737265414,1.0,0.010996261271167802,4.0,0.014671361502347418,1,0.004786979415988512,1.0,0.019264110961279134,3.0,0.017439832577607256,2.0,0.018878610534264675,2.0,0.01103265666372462,1.0,0.004294610264118531,0.016427500515998637,Retail,Luxury Retail,Company
