jobs,telfarglobal_count,telfarglobal_percent,offwht_count,offwht_percent,bapeofficial_count,bapeofficial_percent,kith_count,kith_percent,gucci_count,gucci_percent,fendi_count,fendi_percent,rolex_count,rolex_percent,givenchy_count,givenchy_percent,armani_count,armani_percent,louisvuitton_count,louisvuitton_percent,prada_count,prada_percent,w_avg,Category Level 1,Category Level 2,Entity
Developer,40.0,0.4607764082478976,135.0,1.349595121463561,103.0,1.0104974001765914,184.0,1.3119429590017824,259.0,0.9768424228709364,155,0.6947868573221572,162.0,2.0232296740352185,120.0,0.6792709158836182,130.0,1.0766045548654246,138.0,0.8248655110579796,178,0.7554216356151593,1.062549928745801,Retail,Luxury Retail,Company
Music Producer,25.0,0.287985255154936,143.0,1.4295711286614017,162.0,1.589326008044736,133.0,0.948306595365419,106.0,0.3997887908274874,83,0.37204715585638093,45.0,0.5620082427875608,69.0,0.39058077663308044,43.0,0.35610766045548664,63.0,0.37656903765690375,79,0.3352714000763909,0.8267558180012866,Retail,Luxury Retail,Company
Songwriter,61.0,0.7026840225780439,93.0,0.9297210836748978,89.0,0.8731482389875403,74.0,0.5276292335115864,239.0,0.9014105755449953,168,0.7530593034201444,49.0,0.611964531035344,114.0,0.6453073700894374,84.0,0.6956521739130437,131.0,0.7830245068738794,164,0.6960064507914949,0.7636184726607579,Retail,Luxury Retail,Company
Real Estate,52.0,0.5990093307222669,23.0,0.22993102069379187,22.0,0.21583439615422348,63.0,0.4491978609625668,166.0,0.6260843328053105,131,0.587206956833565,60.0,0.7493443237167479,74.0,0.4188837314615646,69.0,0.5714285714285716,140.0,0.8368200836820083,140,0.594151848236642,0.602193115605076,Retail,Luxury Retail,Company
Youtuber,34.0,0.391659947010713,55.0,0.5498350494851545,81.0,0.794663004022368,80.0,0.5704099821746881,165.0,0.6223127404390133,94,0.4213546102469855,54.0,0.6744098913450729,84.0,0.47548964111853276,60.0,0.4968944099378883,75.0,0.4482964734010759,113,0.4795654203624325,0.5472992848540648,Retail,Luxury Retail,Company
Streamer,26.0,0.29950466536113346,72.0,0.7197840647805659,106.0,1.0399293632885311,68.0,0.48484848484848475,134.0,0.5053933770838048,48,0.21515980097718412,40.0,0.49956288247783187,34.0,0.19246009283369184,34.0,0.2815734989648034,53.0,0.3167961745367603,61,0.2588804481602512,0.517079479920846,Retail,Luxury Retail,Company
Make Up Artist,102.0,1.174979841032139,9.0,0.08997300809757074,2.0,0.019621308741293038,4.0,0.028520499108734405,72.0,0.27155465037338766,113,0.5065220314671209,8.0,0.09991257649556637,70.0,0.3962413675987773,46.0,0.3809523809523811,48.0,0.2869097429766886,83,0.35224716716886634,0.5146645211136945,Retail,Luxury Retail,Company
Psychology,45.0,0.5183734592788849,19.0,0.18994301709487155,13.0,0.12753850681840476,35.0,0.24955436720142604,109.0,0.4111035679263786,96,0.43031960195436825,25.0,0.3122268015486449,87.0,0.4924714140156232,59.0,0.4886128364389235,78.0,0.46622833233711897,114,0.48380936213555137,0.43301178637993554,Retail,Luxury Retail,Company
Fortnie,3.0,0.034558230618592325,74.0,0.7397780665800261,74.0,0.7259884234278425,38.0,0.27094474153297676,98.0,0.369616051897111,45,0.2017123134161101,20.0,0.24978144123891594,36.0,0.20378127476508548,24.0,0.19875776397515532,48.0,0.2869097429766886,42,0.1782455544709926,0.40343753849147584,Retail,Luxury Retail,Company
Comedian,48.0,0.5529316898974772,46.0,0.45986204138758374,49.0,0.4807220641616795,65.0,0.4634581105169341,110.0,0.4148751602926756,59,0.2644672553677888,31.0,0.38716123392031965,60.0,0.3396354579418091,32.0,0.2650103519668738,74.0,0.44231918708906154,67,0.2843440987989644,0.3982176294858412,Retail,Luxury Retail,Company
Economist,6.0,0.06911646123718465,22.0,0.2199340197940618,10.0,0.0981065437064652,14.0,0.09982174688057041,72.0,0.27155465037338766,80,0.35859966829530693,40.0,0.49956288247783187,61.0,0.34529604890750587,50.0,0.4140786749482403,59.0,0.3526598924088464,77,0.32678351653015314,0.3331782033434225,Retail,Luxury Retail,Company
Brand Ambassador,21.0,0.24190761433014626,25.0,0.24992502249325207,21.0,0.2060237417835769,34.0,0.24242424242424238,61.0,0.2300671343441201,62,0.2779147429288628,14.0,0.17484700886724114,59.0,0.3339748669761123,32.0,0.2650103519668738,34.0,0.20322773460848775,62,0.26312438993337006,0.25651312760224476,Retail,Luxury Retail,Company
Architect,14.0,0.16127174288676419,26.0,0.25992202339298215,23.0,0.22564505052486997,35.0,0.24955436720142604,70.0,0.2640114656407936,55,0.24653727195302352,28.0,0.3496940177344823,39.0,0.22076304766217594,21.0,0.17391304347826092,39.0,0.23311416616855948,67,0.2843440987989644,0.25222120130351144,Retail,Luxury Retail,Company
Product Designer,8.0,0.09215528164957952,33.0,0.3299010296910927,19.0,0.1864024330422839,65.0,0.4634581105169341,21.0,0.07920343969223806,16,0.07171993365906139,8.0,0.09991257649556637,17.0,0.09623004641684592,9.0,0.07453416149068325,14.0,0.08368200836820083,17,0.07214701014302081,0.23614650643410576,Retail,Luxury Retail,Company
Contractor,4.0,0.04607764082478976,8.0,0.07997600719784065,8.0,0.07848523496517215,14.0,0.09982174688057041,34.0,0.12823414045409973,24,0.10757990048859206,26.0,0.32471587361059073,23.0,0.13019359221102683,22.0,0.18219461697722572,32.0,0.19127316198445907,31,0.13156219496668503,0.15679601539732174,Retail,Luxury Retail,Company
Executive Director,23.0,0.2649464347425411,8.0,0.07997600719784065,1.0,0.009810654370646519,10.0,0.07130124777183601,11.0,0.04148751602926756,11,0.049307454390604695,23.0,0.2872486574247533,11.0,0.062266500622665005,10.0,0.08281573498964805,17.0,0.10161386730424388,11,0.04668335950430758,0.13835223926178988,Retail,Luxury Retail,Company
COO,11.0,0.12671351226817185,12.0,0.11996401079676097,8.0,0.07848523496517215,28.0,0.19964349376114082,22.0,0.08297503205853513,20,0.08964991707382673,20.0,0.24978144123891594,14.0,0.07924827351975545,13.0,0.10766045548654248,18.0,0.10759115361625822,18,0.0763909519161397,0.12764203256125956,Retail,Luxury Retail,Company
Digital Creator,11.0,0.12671351226817185,13.0,0.12996101169649107,5.0,0.0490532718532326,11.0,0.0784313725490196,37.0,0.1395489175529909,25,0.11206239634228342,7.0,0.08742350443362057,23.0,0.13019359221102683,12.0,0.09937888198757766,23.0,0.13747758517632994,28,0.11883036964732839,0.12022780331922092,Retail,Luxury Retail,Company
Screenwriter,24.0,0.2764658449487386,4.0,0.039988003598920324,4.0,0.039242617482586076,13.0,0.0926916221033868,23.0,0.08674662442483216,12,0.05378995024429603,6.0,0.07493443237167477,12.0,0.06792709158836184,8.0,0.06625258799171845,12.0,0.07172743574417215,22,0.09336671900861516,0.11076639328204435,Retail,Luxury Retail,Company
Animation,4.0,0.04607764082478976,11.0,0.1099670098970309,12.0,0.11772785244775824,31.0,0.2210338680926916,22.0,0.08297503205853513,16,0.07171993365906139,8.0,0.09991257649556637,7.0,0.03962413675987773,6.0,0.04968944099378883,14.0,0.08368200836820083,15,0.06365912659678308,0.11049960744930656,Retail,Luxury Retail,Company
co-host,18.0,0.20734938371155398,9.0,0.08997300809757074,7.0,0.06867458059452564,18.0,0.1283422459893048,5.0,0.018857961831485255,3,0.013447487561074008,3.0,0.037467216185837385,2.0,0.011321181931393637,1.0,0.008281573498964806,2.0,0.011954572624028692,4,0.016975767092475485,0.10698192420879368,Retail,Luxury Retail,Company
Theater,6.0,0.06911646123718465,2.0,0.019994001799460162,2.0,0.019621308741293038,9.0,0.0641711229946524,23.0,0.08674662442483216,30,0.1344748756107401,5.0,0.062445360309728984,19.0,0.10755122834823956,13.0,0.10766045548654248,13.0,0.07770472205618649,26,0.11034248610109067,0.09956243386755986,Retail,Luxury Retail,Company
Columnist,6.0,0.06911646123718465,7.0,0.06997900629811057,6.0,0.05886392622387912,5.0,0.035650623885918005,14.0,0.052802293128158706,12,0.05378995024429603,16.0,0.19982515299113274,16.0,0.0905694554511491,8.0,0.06625258799171845,2.0,0.011954572624028692,12,0.05092730127742647,0.08300068456342263,Retail,Luxury Retail,Company
Life Coach,1.0,0.01151941020619744,4.0,0.039988003598920324,2.0,0.019621308741293038,2.0,0.014260249554367202,16.0,0.06034547786075281,17,0.0762024295127527,5.0,0.062445360309728984,12.0,0.06792709158836184,11.0,0.09109730848861286,15.0,0.08965929468021519,24,0.10185460255485294,0.07723876756133455,Retail,Luxury Retail,Company
Astronaut,2.0,0.02303882041239488,4.0,0.039988003598920324,6.0,0.05886392622387912,7.0,0.049910873440285206,10.0,0.03771592366297051,6,0.026894975122148015,6.0,0.07493443237167477,3.0,0.01698177289709046,2.0,0.01656314699792961,4.0,0.023909145248057383,10,0.04243941773118872,0.04168045632049386,Retail,Luxury Retail,Company
Digital Strategist,8.0,0.09215528164957952,1.0,0.009997000899730081,2.0,0.019621308741293038,7.0,0.049910873440285206,3.0,0.011314777098891154,4,0.017929983414765347,1.0,0.012489072061945796,5.0,0.028302954828484096,4.0,0.03312629399585922,1.0,0.005977286312014346,6,0.025463650638713236,0.04016167768925668,Retail,Luxury Retail,Company
Radio,5.0,0.0575970510309872,5.0,0.04998500449865041,2.0,0.019621308741293038,5.0,0.035650623885918005,5.0,0.018857961831485255,4,0.017929983414765347,3.0,0.037467216185837385,4.0,0.022642363862787274,4.0,0.03312629399585922,2.0,0.011954572624028692,2,0.008487883546237742,0.03165309633437763,Retail,Luxury Retail,Company
Patron,5.0,0.0575970510309872,3.0,0.029991002699190243,5.0,0.0490532718532326,4.0,0.028520499108734405,4.0,0.015086369465188203,3,0.013447487561074008,2.0,0.024978144123891592,1.0,0.005660590965696819,1.0,0.008281573498964806,3.0,0.017931858936043037,4,0.016975767092475485,0.029245475925373084,Retail,Luxury Retail,Company
Actor,3.0,0.034558230618592325,3.0,0.029991002699190243,5.0,0.0490532718532326,5.0,0.035650623885918005,6.0,0.022629554197782308,5,0.022412479268456683,2.0,0.024978144123891592,3.0,0.01698177289709046,3.0,0.024844720496894415,4.0,0.023909145248057383,3,0.012731825319356618,0.027958922037097978,Retail,Luxury Retail,Company
Singer-Songwriter,1.0,0.01151941020619744,2.0,0.019994001799460162,,,2.0,0.014260249554367202,4.0,0.015086369465188203,2,0.008964991707382674,2.0,0.024978144123891592,6.0,0.03396354579418092,2.0,0.01656314699792961,3.0,0.017931858936043037,3,0.012731825319356618,0.019894751257936934,Retail,Luxury Retail,Company
