jobs,theestallion_count,theestallion_percent,jackharlow_count,jackharlow_percent,21savage_count,21savage_percent,dojacat_count,dojacat_percent,kodakblack1k_count,kodakblack1k_percent,trvisxx_count,trvisxx_percent,1gunnagunna_count,1gunnagunna_percent,wizkhalifa_count,wizkhalifa_percent,liltunechi_count,liltunechi_percent,rickross_count,rickross_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Brand Ambassador,57,0.2131717715696175,53,0.1441823771049267,64,0.17903099474096457,14.0,0.08887196089633721,41.0,0.1868647737113167,36.0,0.12984202553559837,50.0,0.18955189931003114,48.0,0.16755681223164728,39,0.20707231602421147,54.0,0.214617860975319,65,0.15638909607102472,13.0,0.16107049931854792,46,0.12326491237472532,33,0.12593016599885515,18.0,0.08861320336730173,52.0,0.1684155978753725,20.0,0.16448721111933548,32.0,0.2117242291914781,53,0.1789754499712964,33.0,0.15422722811609105,0.16941994928086382,Music,Rapper,Person
Animation,31,0.11593552488873933,42,0.11425773280013059,24,0.0671366230278617,47.0,0.29835586872341774,12.0,0.05469212889111708,61.0,0.22001009882420833,16.0,0.06065660777920996,29.0,0.10123224072328689,13,0.06902410534140384,8.0,0.03179523866301023,49,0.11789331857661861,8.0,0.09912030727295255,80,0.21437376065169622,58,0.22133180690707874,54.0,0.26583961010190515,33.0,0.10687912942090945,4.0,0.03289744222386709,13.0,0.086012968109038,23,0.07766859149697769,20.0,0.09347104734308549,0.16401032997466095,Music,Rapper,Person
Contractor,38,0.14211451437974496,21,0.057128866400065294,36,0.10070493454179257,6.0,0.03808798324128737,25.0,0.11394193518982727,13.0,0.04688739811007719,28.0,0.10614906361361745,59.0,0.20595524836806642,51,0.2707868748008919,46.0,0.1828226223123088,68,0.16360705435122583,19.0,0.2354107297732623,46,0.12326491237472532,34,0.12974623163518412,12.0,0.059075468911534486,46.0,0.14898302888975257,27.0,0.22205773501110287,13.0,0.086012968109038,42,0.14182960186404622,44.0,0.20563630415478804,0.15818380855958966,Music,Rapper,Person
Architect,18,0.06731740154830025,27,0.07345139965722682,19,0.05314982656372385,14.0,0.08887196089633721,14.0,0.06380748370630326,27.0,0.09738151915169876,16.0,0.06065660777920996,32.0,0.11170454148776485,16,0.08495274503557393,19.0,0.07551369182464929,51,0.12270529076341939,10.0,0.1239003840911907,58,0.15542097647247977,45,0.17172295363480247,23.0,0.11322798208044109,29.0,0.09392408343049619,7.0,0.05757052389176741,12.0,0.0793965859468043,27,0.09117617262688683,30.0,0.14020657101462825,0.10911191862002236,Music,Rapper,Person
Screenwriter,23,0.08601667975616142,53,0.1441823771049267,19,0.05314982656372385,21.0,0.1333079413445058,7.0,0.03190374185315163,28.0,0.10098824208324318,11.0,0.041701417848206856,16.0,0.05585227074388242,9,0.047785919082510335,19.0,0.07551369182464929,34,0.08180352717561291,2.0,0.02478007681823814,33,0.08842917626882468,46,0.1755390192711314,27.0,0.13291980505095258,32.0,0.10364036792330615,6.0,0.049346163335800636,7.0,0.04631467513563585,6,0.020261371694863747,18.0,0.08412394260877692,0.10235680720337628,Music,Rapper,Person
Digital Creator,17,0.06357754590672801,38,0.10337604396202292,20,0.05594718585655143,15.0,0.09521995810321843,21.0,0.0957112255594549,23.0,0.08295462742552116,16.0,0.06065660777920996,28.0,0.09774147380179424,19,0.10088138472974406,15.0,0.05961607249314418,43,0.10345740201621635,7.0,0.08673026886383349,49,0.13130392839916394,24,0.09158557527189465,20.0,0.09845911485255748,32.0,0.10364036792330615,11.0,0.09046796611563451,12.0,0.0793965859468043,30,0.10130685847431872,15.0,0.07010328550731412,0.0945155161060758,Music,Rapper,Person
Actor,12,0.04487826769886684,32,0.08705351070486142,12,0.03356831151393085,25.0,0.15869993017203074,5.0,0.02278838703796545,28.0,0.10098824208324318,6.0,0.022746227917203734,8.0,0.02792613537194121,6,0.03185727938834022,9.0,0.0357696434958865,14,0.03368380530760531,2.0,0.02478007681823814,35,0.0937885202851171,25,0.0954016409082236,30.0,0.14768867227883622,12.0,0.038865137971239805,2.0,0.016448721111933545,4.0,0.026465528648934762,3,0.010130685847431873,8.0,0.03738841893723419,0.08296119650974709,Music,Rapper,Person
Product Designer,10,0.03739855641572236,10,0.027204222095269192,7,0.019581515049793,10.0,0.06347997206881228,4.0,0.018230709630372363,16.0,0.057707566904710385,8.0,0.03032830388960498,7.0,0.02443536845044856,4,0.021238186258893482,11.0,0.04371845316163906,24,0.05774366624160912,3.0,0.037170115227357206,58,0.15542097647247977,28,0.10684983781721046,15.0,0.07384433613941811,15.0,0.04858142246404975,2.0,0.016448721111933545,3.0,0.019849146486701073,3,0.010130685847431873,3.0,0.014020657101462821,0.07841712647127017,Music,Rapper,Person
co-host,26,0.09723624668087813,41,0.11153731059060368,11,0.03077095222110328,25.0,0.15869993017203074,5.0,0.02278838703796545,26.0,0.09377479622015437,4.0,0.01516415194480249,7.0,0.02443536845044856,6,0.03185727938834022,15.0,0.05961607249314418,13,0.031277819214204944,3.0,0.037170115227357206,21,0.05627311217107025,11,0.04197672199961838,14.0,0.06892138039679024,15.0,0.04858142246404975,3.0,0.024673081667900318,4.0,0.026465528648934762,6,0.020261371694863747,6.0,0.028041314202925643,0.07481391562893465,Music,Rapper,Person
COO,11,0.0411384120572946,22,0.05984928860959222,21,0.058744545149379004,5.0,0.03173998603440614,8.0,0.036461419260744726,10.0,0.03606722931544399,9.0,0.034119341875805606,15.0,0.05236150382238977,18,0.09557183816502067,14.0,0.055641667660267895,21,0.050525707961407984,4.0,0.04956015363647628,39,0.10450720831770191,17,0.06487311581759206,5.0,0.02461477871313937,24.0,0.07773027594247961,6.0,0.049346163335800636,9.0,0.05954743946010322,12,0.04052274338972749,8.0,0.03738841893723419,0.06276823120346522,Music,Rapper,Person
Executive Director,16,0.059837690265155785,20,0.054408444190538384,8,0.02237887434262057,5.0,0.03173998603440614,7.0,0.03190374185315163,8.0,0.028853783452355192,6.0,0.022746227917203734,9.0,0.031416902293433864,7,0.0371668259530636,19.0,0.07551369182464929,16,0.038495777494406073,3.0,0.037170115227357206,29,0.07771048823623988,23,0.0877695096355657,6.0,0.029537734455767243,14.0,0.04534266096644644,2.0,0.016448721111933545,4.0,0.026465528648934762,11,0.037145848107250204,6.0,0.028041314202925643,0.05241551518531675,Music,Rapper,Person
Singer-Songwriter,20,0.07479711283144472,27,0.07345139965722682,14,0.039163030099586,10.0,0.06347997206881228,6.0,0.02734606444555854,12.0,0.04328067517853279,8.0,0.03032830388960498,12.0,0.04188920305791182,8,0.042476372517786964,5.0,0.019872024164381392,14,0.03368380530760531,4.0,0.04956015363647628,14,0.03751540811404684,12,0.045792787635947324,12.0,0.059075468911534486,18.0,0.0582977069568597,3.0,0.024673081667900318,5.0,0.03308191081116845,6,0.020261371694863747,12.0,0.056082628405851286,0.04985099379905093,Music,Rapper,Person
Astronaut,8,0.029918845132577893,14,0.03808591093337687,18,0.05035246727089628,2.0,0.012695994413762455,13.0,0.05924980629871018,4.0,0.014426891726177596,13.0,0.04928349382060809,16.0,0.05585227074388242,8,0.042476372517786964,6.0,0.02384642899725767,21,0.050525707961407984,2.0,0.02478007681823814,17,0.04555442413848545,12,0.045792787635947324,9.0,0.044306601683650866,13.0,0.042103899468843124,7.0,0.05757052389176741,5.0,0.03308191081116845,11,0.037145848107250204,5.0,0.023367761835771373,0.044235055975645456,Music,Rapper,Person
Theater,10,0.03739855641572236,15,0.04080633314290378,8,0.02237887434262057,12.0,0.07617596648257474,2.0,0.009115354815186182,14.0,0.05049412104162159,4.0,0.01516415194480249,7.0,0.02443536845044856,4,0.021238186258893482,4.0,0.015897619331505113,9,0.021653874840603424,1.0,0.01239003840911907,25,0.06699180020365507,10,0.03816065636328944,10.0,0.04922955742627874,7.0,0.02267133048322322,1.0,0.008224360555966773,3.0,0.019849146486701073,4,0.013507581129909161,7.0,0.03271486657007992,0.04108341736439553,Music,Rapper,Person
Life Coach,7,0.026178989491005656,13,0.035365488723849946,13,0.03636567080675843,2.0,0.012695994413762455,11.0,0.05013445148352399,6.0,0.021640337589266395,10.0,0.037910379862006224,8.0,0.02792613537194121,10,0.05309546564723371,14.0,0.055641667660267895,19,0.04571373577460722,2.0,0.02478007681823814,13,0.03483573610590064,5,0.01908032818164472,8.0,0.03938364594102299,12.0,0.038865137971239805,8.0,0.06579488444773418,5.0,0.03308191081116845,11,0.037145848107250204,12.0,0.056082628405851286,0.041037695940942885,Music,Rapper,Person
Radio,13,0.048618123340439065,17,0.04624717756195761,14,0.039163030099586,5.0,0.03173998603440614,6.0,0.02734606444555854,10.0,0.03606722931544399,9.0,0.034119341875805606,11.0,0.03839843613641917,8,0.042476372517786964,13.0,0.05166726282739161,19,0.04571373577460722,,,17,0.04555442413848545,8,0.030528525090631555,4.0,0.019691822970511495,10.0,0.03238761497603317,2.0,0.016448721111933545,7.0,0.04631467513563585,8,0.027015162259818322,8.0,0.03738841893723419,0.039963479231974706,Music,Rapper,Person
Columnist,10,0.03739855641572236,9,0.024483799885742275,5,0.013986796464137858,6.0,0.03808798324128737,4.0,0.018230709630372363,7.0,0.025247060520810796,4.0,0.01516415194480249,4.0,0.013963067685970606,7,0.0371668259530636,9.0,0.0357696434958865,10,0.0240598609340038,2.0,0.02478007681823814,15,0.040195080122193035,9,0.03434459072696049,6.0,0.029537734455767243,6.0,0.019432568985619902,2.0,0.016448721111933545,2.0,0.013232764324467381,2,0.0067537905649545805,6.0,0.028041314202925643,0.028625471183541126,Music,Rapper,Person
Patron,7,0.026178989491005656,6,0.016322533257161514,7,0.019581515049793,5.0,0.03173998603440614,3.0,0.01367303222277927,5.0,0.018033614657721995,4.0,0.01516415194480249,7.0,0.02443536845044856,4,0.021238186258893482,8.0,0.03179523866301023,10,0.0240598609340038,,,9,0.024117048073315824,3,0.011448196908986831,2.0,0.009845911485255748,3.0,0.009716284492809951,4.0,0.03289744222386709,4.0,0.026465528648934762,9,0.030392057542295615,8.0,0.03738841893723419,0.02435268272939877,Music,Rapper,Person
Information Technology,3,0.01121956692471671,4,0.010881688838107677,5,0.013986796464137858,4.0,0.02539198882752491,3.0,0.01367303222277927,8.0,0.028853783452355192,4.0,0.01516415194480249,5.0,0.017453834607463255,3,0.01592863969417011,7.0,0.027820833830133947,13,0.031277819214204944,2.0,0.02478007681823814,6,0.016078032048877214,10,0.03816065636328944,2.0,0.009845911485255748,11.0,0.03562637647363649,1.0,0.008224360555966773,1.0,0.0066163821622336905,3,0.010130685847431873,1.0,0.004673552367154274,0.024028428863645677,Music,Rapper,Person
Exhibitionist,7,0.026178989491005656,4,0.010881688838107677,1,0.0027973592928275713,3.0,0.019043991620643685,,,5.0,0.018033614657721995,,,2.0,0.006981533842985303,3,0.01592863969417011,,,1,0.0024059860934003796,3.0,0.037170115227357206,2,0.005359344016292405,2,0.007632131272657889,3.0,0.014768867227883621,1.0,0.003238761497603317,,,2.0,0.013232764324467381,1,0.0033768952824772902,2.0,0.009347104734308548,0.01606207987942799,Music,Rapper,Person
Digital Strategist,3,0.01121956692471671,3,0.008161266628580757,3,0.008392077878482713,,,1.0,0.004557677407593091,3.0,0.010820168794633198,,,,,2,0.010619093129446741,3.0,0.011923214498628836,4,0.009623944373601518,,,10,0.026796720081462028,5,0.01908032818164472,2.0,0.009845911485255748,,,,,1.0,0.0066163821622336905,4,0.013507581129909161,,,0.014989724925255568,Music,Rapper,Person
Cryptocurrency,3,0.01121956692471671,2,0.005440844419053839,4,0.011189437171310285,2.0,0.012695994413762455,2.0,0.009115354815186182,5.0,0.018033614657721995,5.0,0.018955189931003112,5.0,0.017453834607463255,1,0.0053095465647233706,2.0,0.007948809665752557,3,0.00721795828020114,,,4,0.01071868803258481,2,0.007632131272657889,,,4.0,0.012955045990413269,3.0,0.024673081667900318,2.0,0.013232764324467381,4,0.013507581129909161,5.0,0.023367761835771373,0.01429841688726909,Music,Rapper,Person
Fitness Instructor,1,0.0037398556415722366,3,0.008161266628580757,1,0.0027973592928275713,,,1.0,0.004557677407593091,,,,,3.0,0.010472300764477955,2,0.010619093129446741,3.0,0.011923214498628836,3,0.00721795828020114,,,2,0.005359344016292405,2,0.007632131272657889,1.0,0.004922955742627874,1.0,0.003238761497603317,1.0,0.008224360555966773,,,1,0.0033768952824772902,1.0,0.004673552367154274,0.007541414428472406,Music,Rapper,Person
