family,theestallion_count,theestallion_percent,jackharlow_count,jackharlow_percent,21savage_count,21savage_percent,dojacat_count,dojacat_percent,kodakblack1k_count,kodakblack1k_percent,trvisxx_count,trvisxx_percent,1gunnagunna_count,1gunnagunna_percent,wizkhalifa_count,wizkhalifa_percent,liltunechi_count,liltunechi_percent,rickross_count,rickross_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Mother,3100,45.5480458419042,1746,24.882428388200083,2193,38.91057487579844,703,25.81711347778186,1837,41.08700514426303,1615,31.87290309848036,1476,40.272851296043655,1771,30.247651579846284,1257,28.82366429717954,1280,29.836829836829835,2319,29.650939777522055,636,38.06104129263914,1690,22.77935031675428,864,21.54076290201945,582,22.264728385615918,1486,28.22412155745489,967,42.542894852617685,894,36.47490820073439,2274,41.233000906618315,1924,38.60353130016052,34.27414689558973,Music,Rapper,Person
Father,1018,14.957390537760798,1842,26.25053441641727,1534,27.217885024840317,513,18.839515240543523,1246,27.86848579736077,990,19.53818827708703,1040,28.376534788540248,1627,27.788215200683176,1229,28.181609722540703,1595,37.17948717948718,2275,29.088351873162004,267,15.978456014362658,2155,29.04704138023993,1318,32.859636000997256,703,26.89364957918898,1741,33.067426400759736,593,26.088869335679714,759,30.96695226438188,1414,25.63916591115141,873,17.51605136436597,27.537910995947616,Music,Rapper,Person
Wife,1682,24.71348809873641,1405,20.02280176713695,910,16.146202980837472,745,27.35952993022402,658,14.71706553343771,1305,25.754884547069267,507,13.833560709413373,1204,20.563620836891545,939,21.5317587709241,667,15.547785547785548,1613,20.623961130290247,473,28.30640335128665,1826,24.612481466504917,714,17.801047120418843,541,20.696250956388678,907,17.226970560303894,373,16.410030796304444,345,14.075887392900857,896,16.246600181323664,1348,27.04654895666132,21.17498982019743,Music,Rapper,Person
Dad,682,10.020570085218923,1622,23.11529143508622,747,13.254080908445703,574,21.079691516709513,534,11.943636770297472,858,16.93309650680876,490,13.369713506139158,868,14.824935952177624,639,14.652602614079338,520,12.121212121212123,1160,14.83186293312876,183,10.951526032315977,1240,16.71384283596172,822,20.49364248317128,620,23.718439173680185,817,15.517568850902183,252,11.086669599648042,347,14.157486740106078,711,12.892112420670898,521,10.453451043338685,16.104854171655617,Music,Rapper,Person
Husband,324,4.760505436379665,402,5.72894399315947,252,4.471256210078069,188,6.904149834741095,196,4.383806754641021,299,5.900927570554568,152,4.147339699863576,385,6.575576430401366,297,6.810364595276313,228,5.314685314685315,454,5.804884285896946,112,6.702573309395571,508,6.847284000539157,293,7.304911493393168,168,6.426931905126245,314,5.963912630579296,88,3.8715354157501096,106,4.324765401876785,220,3.9891205802357206,318,6.380417335473516,5.835813758769001,Music,Rapper,Person
